id,size,type,status,weight,inbound_mode,outbound_mode,direction,service,input_vessel,output_vessel
DEOI6764398,40,dry,full,medium,truck,deep_sea,export,strip,,Jim Wonder
FFDZ6552193,40,reefer,empty,medium,rail,deep_sea,export,,,Jim Wonder
AXJQ6956127,40,dry,empty,light,rail,deep_sea,export,,,Jim Wonder
YTJC2696629,40,dry,empty,light,rail,deep_sea,export,seal,,Jim Wonder
YIHJ8331581,40,hazardous,empty,light,truck,deep_sea,export,,,Jim Wonder
OOBU2992637,40,dry,full,medium,rail,deep_sea,export,,,Jim Wonder
DLFY2524846,40,dry,empty,medium,rail,deep_sea,export,,,Jim Wonder
ZKTC4186272,20,dry,empty,medium,truck,deep_sea,export,washing,,Jim Wonder
RRQX5948946,20,dry,full,light,rail,deep_sea,export,,,Jim Wonder
UTVP2216723,20,hazardous,full,medium,deep_sea,deep_sea,waterside_transshipment,customs,,Jim Wonder
TJNV8979421,20,dry,full,medium,truck,deep_sea,export,stuff,,Jim Wonder
QKFE5519177,40,dry,full,light,rail,deep_sea,export,stuff,,Jim Wonder
ZWXS9982577,40,reefer,full,light,rail,deep_sea,export,seal,,Jim Wonder
DCJZ8667114,40,dry,full,light,rail,deep_sea,export,stuff,,Jim Wonder
LTGR8672969,40,hazardous,full,light,rail,deep_sea,export,,,Jim Wonder
GYBO1387394,40,reefer,full,medium,deep_sea,deep_sea,waterside_transshipment,customs,,Jim Wonder
SONK3385955,40,dry,empty,medium,rail,deep_sea,export,customs,,Jim Wonder
JFGO3667582,40,dry,full,heavy,feeder,deep_sea,waterside_transshipment,customs,,Jim Wonder
LPCH2343553,20,dry,full,heavy,deep_sea,deep_sea,waterside_transshipment,,,Jim Wonder
IDTM8937194,40,dry,full,light,deep_sea,deep_sea,waterside_transshipment,,,Jim Wonder
ZXCB7743753,40,reefer,full,medium,rail,deep_sea,export,customs,,Jim Wonder
VZUS2449731,40,dry,full,light,rail,deep_sea,export,strip,,Jim Wonder
QUXR7215249,20,dry,empty,medium,rail,deep_sea,export,,,Jim Wonder
GSKL2979915,40,reefer,full,medium,rail,deep_sea,export,stuff,,Jim Wonder
XWBZ8762143,40,dry,full,light,rail,deep_sea,export,,,Jim Wonder
NWLV5568139,40,dry,empty,medium,rail,deep_sea,export,customs,,Jim Wonder
SNMO3653592,40,dry,empty,medium,truck,deep_sea,export,stuff,,Jim Wonder
YEVT7488911,40,hazardous,full,light,rail,deep_sea,export,stuff,,Jim Wonder
SRRQ3552421,20,reefer,empty,light,rail,deep_sea,export,stuff,,Jim Wonder
WGDU6244243,40,dry,full,heavy,truck,deep_sea,export,seal,,Jim Wonder
LBAR1496536,40,dry,empty,light,rail,deep_sea,export,washing,,Jim Wonder
LSAA4685856,40,hazardous,full,light,truck,deep_sea,export,,,Jim Wonder
HGDN5324165,20,hazardous,empty,medium,truck,deep_sea,export,washing,,Jim Wonder
WJVF3162852,40,hazardous,full,heavy,truck,deep_sea,export,strip,,Jim Wonder
RSZB9231365,40,dry,full,medium,rail,deep_sea,export,washing,,Jim Wonder
OVGN8182951,20,reefer,full,medium,deep_sea,deep_sea,waterside_transshipment,,,Jim Wonder
THKP6295366,20,hazardous,full,heavy,truck,deep_sea,export,stuff,,Jim Wonder
SWPB2932363,40,dry,full,medium,truck,deep_sea,export,strip,,Jim Wonder
RTPZ4969741,40,reefer,full,light,rail,deep_sea,export,seal,,Jim Wonder
ORNU1138187,40,dry,full,medium,feeder,deep_sea,waterside_transshipment,washing,,Jim Wonder
JNQY4439325,20,dry,full,medium,rail,deep_sea,export,washing,,Jim Wonder
OSEE5528629,40,dry,full,light,deep_sea,deep_sea,waterside_transshipment,,,Jim Wonder
TDJM5219886,40,dry,full,light,deep_sea,deep_sea,waterside_transshipment,strip,,Jim Wonder
ZRIS9491949,20,reefer,full,heavy,feeder,deep_sea,waterside_transshipment,,,Jim Wonder
