id,size,type,status,weight,inbound_mode,outbound_mode,direction,service,input_vessel,input_vessel_carrier,input_vessel_liner,input_vessel_service,output_vessel,output_vessel_carrier,output_vessel_liner,output_vessel_service
DEOI6764398,40,dry,full,medium,truck,deep_sea,export,strip,,,,,Jim Wonder,,BGF,BGGFEED
FFDZ6552193,40,"dry, reefer",empty,medium,rail,deep_sea,export,,,,,,Jim Wonder,,BGF,BGGFEED
AXJQ6956127,40,dry,empty,light,rail,deep_sea,export,,,,,,Jim Wonder,,BGF,BGGFEED
YTJC2696629,40,dry,empty,light,rail,deep_sea,export,"seal, stuff",,,,,Jim Wonder,,BGF,BGGFEED
YIHJ8331581,40,hazardous,empty,light,truck,deep_sea,export,,,,,,Jim Wonder,,BGF,BGGFEED
OOBU2992637,40,dry,full,medium,rail,deep_sea,export,,,,,,Jim Wonder,,BGF,BGGFEED
DLFY2524846,40,dry,empty,medium,rail,deep_sea,export,,,,,,Jim Wonder,,BGF,BGGFEED
ZKTC4186272,20,dry,empty,medium,truck,deep_sea,export,washing,,,,,Jim Wonder,,BGF,BGGFEED
RRQX5948946,20,dry,full,light,rail,deep_sea,export,,,,,,Jim Wonder,,BGF,BGGFEED
UTVP2216723,20,hazardous,full,medium,deep_sea,deep_sea,waterside_transshipment,"customs, strip, stuff",,,,,Jim Wonder,,BGF,BGGFEED
TJNV8979421,20,dry,full,medium,truck,deep_sea,export,stuff,,,,,Jim Wonder,,BGF,BGGFEED
QKFE5519177,40,dry,full,light,rail,deep_sea,export,stuff,,,,,Jim Wonder,,BGF,BGGFEED
ZWXS9982577,40,"dry, reefer",full,light,rail,deep_sea,export,seal,,,,,Jim Wonder,,BGF,BGGFEED
DCJZ8667114,40,dry,full,light,rail,deep_sea,export,stuff,,,,,Jim Wonder,,BGF,BGGFEED
LTGR8672969,40,"dry, hazardous",full,light,rail,deep_sea,export,,,,,,Jim Wonder,,BGF,BGGFEED
GYBO1387394,40,"dry, reefer",full,medium,deep_sea,deep_sea,waterside_transshipment,customs,,,,,Jim Wonder,,BGF,BGGFEED
SONK3385955,40,dry,empty,medium,rail,deep_sea,export,"customs, strip",,,,,Jim Wonder,,BGF,BGGFEED
JFGO3667582,40,tank,full,heavy,feeder,deep_sea,waterside_transshipment,customs,,,,,Jim Wonder,,BGF,BGGFEED
LPCH2343553,20,dry,full,heavy,deep_sea,deep_sea,waterside_transshipment,,,,,,Jim Wonder,,BGF,BGGFEED
IDTM8937194,40,dry,full,light,deep_sea,deep_sea,waterside_transshipment,,,,,,Jim Wonder,,BGF,BGGFEED
ZXCB7743753,40,"dry, reefer",full,medium,rail,deep_sea,export,customs,,,,,Jim Wonder,,BGF,BGGFEED
VZUS2449731,40,dry,full,light,rail,deep_sea,export,strip,,,,,Jim Wonder,,BGF,BGGFEED
QUXR7215249,20,dry,empty,medium,rail,deep_sea,export,,,,,,Jim Wonder,,BGF,BGGFEED
GSKL2979915,40,"dry, reefer",full,medium,rail,deep_sea,export,stuff,,,,,Jim Wonder,,BGF,BGGFEED
XWBZ8762143,40,dry,full,light,rail,deep_sea,export,,,,,,Jim Wonder,,BGF,BGGFEED
NWLV5568139,40,dry,empty,medium,rail,deep_sea,export,customs,,,,,Jim Wonder,,BGF,BGGFEED
SNMO3653592,40,dry,empty,medium,truck,deep_sea,export,stuff,,,,,Jim Wonder,,BGF,BGGFEED
YEVT7488911,40,"reefer, hazardous",full,light,rail,deep_sea,export,stuff,,,,,Jim Wonder,,BGF,BGGFEED
SRRQ3552421,20,"dry, reefer",empty,light,rail,deep_sea,export,stuff,,,,,Jim Wonder,,BGF,BGGFEED
WGDU6244243,40,dry,full,heavy,truck,deep_sea,export,"seal, customs",,,,,Jim Wonder,,BGF,BGGFEED
LBAR1496536,40,dry,empty,light,rail,deep_sea,export,washing,,,,,Jim Wonder,,BGF,BGGFEED
LSAA4685856,40,"dry, hazardous",full,light,truck,deep_sea,export,,,,,,Jim Wonder,,BGF,BGGFEED
HGDN5324165,20,"dry, hazardous",empty,medium,truck,deep_sea,export,washing,,,,,Jim Wonder,,BGF,BGGFEED
WJVF3162852,40,"dry, hazardous",full,heavy,truck,deep_sea,export,strip,,,,,Jim Wonder,,BGF,BGGFEED
RSZB9231365,40,dry,full,medium,rail,deep_sea,export,washing,,,,,Jim Wonder,,BGF,BGGFEED
OVGN8182951,20,reefer,full,medium,deep_sea,deep_sea,waterside_transshipment,,,,,,Jim Wonder,,BGF,BGGFEED
THKP6295366,20,hazardous,full,heavy,truck,deep_sea,export,stuff,,,,,Jim Wonder,,BGF,BGGFEED
SWPB2932363,40,dry,full,medium,truck,deep_sea,export,strip,,,,,Jim Wonder,,BGF,BGGFEED
RTPZ4969741,40,"dry, reefer",full,light,rail,deep_sea,export,"seal, strip",,,,,Jim Wonder,,BGF,BGGFEED
