Dataset;Name;"Time IN";"Time OUT";Size;Status;Type;Service;Direction;Weight;"Mode IN";"Mode OUT";"Carrier IN";"Carrier OUT";"Service IN";"Service OUT";"Liner IN";"Liner OUT";Position;PoD;Block;X1;X2;Y1;Y2;Z1;Z2
Advanced;DEOI6764398;"2023-09-18 19:10:01";"2023-10-02 04:54:01";"40ft (feu)";full;dry;strip;export;middle;Truck;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;FFDZ6552193;"2023-09-21 20:56:01";"2023-10-02 01:00:01";"40ft (feu)";empty;"dry, reefer";;export;middle;Rail;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;AXJQ6956127;"2023-09-27 06:58:01";"2023-10-02 03:18:01";"40ft (feu)";empty;dry;;export;light;Rail;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;YTJC2696629;"2023-09-25 00:15:01";"2023-10-01 08:50:01";"40ft (feu)";empty;dry;"seal, stuff";export;light;Rail;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;YIHJ8331581;"2023-09-21 17:47:01";"2023-10-01 09:52:01";"40ft (feu)";empty;hazardous;;export;light;Truck;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;OOBU2992637;"2023-10-01 07:24:01";"2023-10-02 07:44:01";"40ft (feu)";full;dry;;export;middle;Rail;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;DLFY2524846;"2023-09-20 03:39:01";"2023-10-01 21:02:01";"40ft (feu)";empty;dry;;export;middle;Rail;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;ZKTC4186272;"2023-09-18 02:54:01";"2023-10-02 00:59:01";"20ft (teu)";empty;dry;washing;export;middle;Truck;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;RRQX5948946;"2023-09-19 23:01:01";"2023-10-02 02:31:01";"20ft (teu)";full;dry;;export;light;Rail;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;UTVP2216723;"2023-09-19 12:56:01";"2023-10-02 09:08:01";"20ft (teu)";full;hazardous;"customs, strip, stuff";"ws ts";middle;Deepsea;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;TJNV8979421;"2023-09-20 07:33:01";"2023-10-02 03:36:01";"20ft (teu)";full;dry;stuff;export;middle;Truck;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;QKFE5519177;"2023-09-22 09:49:01";"2023-10-01 10:34:01";"40ft (feu)";full;dry;stuff;export;light;Rail;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;ZWXS9982577;"2023-09-28 18:21:01";"2023-10-01 19:45:01";"40ft (feu)";full;"dry, reefer";seal;export;light;Rail;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;DCJZ8667114;"2023-09-23 21:20:01";"2023-10-02 01:39:01";"40ft (feu)";full;dry;stuff;export;light;Rail;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;LTGR8672969;"2023-10-01 04:04:01";"2023-10-01 20:59:01";"40ft (feu)";full;"dry, hazardous";;export;light;Rail;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;GYBO1387394;"2023-09-29 15:40:01";"2023-10-01 18:46:01";"40ft (feu)";full;"dry, reefer";customs;"ws ts";middle;Deepsea;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;SONK3385955;"2023-09-22 10:10:01";"2023-10-01 12:32:01";"40ft (feu)";empty;dry;"customs, strip";export;middle;Rail;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;JFGO3667582;"2023-09-27 05:19:01";"2023-10-01 22:30:01";"40ft (feu)";full;tank;customs;"ws ts";heavy;Feeder;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
