id,size,type,status,weight,inbound_mode,outbound_mode,direction,service,input_vessel,input_vessel_carrier,input_vessel_liner,input_vessel_service,output_vessel,output_vessel_carrier,output_vessel_liner,output_vessel_service
KLAQ9772279,20,reefer,full,light,rail,deep_sea,export,seal,,,,,Seestern,,BGF,BGGFEED
NGWV5268385,20,dry,full,medium,deep_sea,deep_sea,waterside_transshipment,,,,,,Seestern,,BGF,BGGFEED
FAPV7119139,20,dry,full,medium,rail,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
ADHV1142373,20,dry,full,heavy,rail,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
JAFB4533877,20,dry,full,medium,feeder,deep_sea,waterside_transshipment,seal,,,,,Seestern,,BGF,BGGFEED
TWOJ3534428,20,dry,full,light,rail,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
OJEP1288741,20,dry,empty,light,rail,deep_sea,export,seal,,,,,Seestern,,BGF,BGGFEED
ZLFW1944584,20,dry,empty,medium,rail,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
NZTK5547372,20,dry,full,light,feeder,deep_sea,waterside_transshipment,seal,,,,,Seestern,,BGF,BGGFEED
KMNS4192236,20,reefer,full,light,rail,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
DNMQ3983258,20,dry,full,light,rail,deep_sea,export,strip,,,,,Seestern,,BGF,BGGFEED
YDVI6517838,20,reefer,full,medium,deep_sea,deep_sea,waterside_transshipment,,,,,,Seestern,,BGF,BGGFEED
GZSZ1638296,20,reefer,full,medium,truck,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
IHMW6278944,20,dry,full,medium,rail,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
FTCC3117962,20,dry,full,light,rail,deep_sea,export,stuff,,,,,Seestern,,BGF,BGGFEED
EMOF3889871,20,dry,empty,heavy,feeder,deep_sea,waterside_transshipment,,,,,,Seestern,,BGF,BGGFEED
DMWW9628533,20,dry,full,medium,rail,deep_sea,export,stuff,,,,,Seestern,,BGF,BGGFEED
SPSE9262792,20,reefer,full,medium,rail,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
HVET4513115,20,dry,empty,medium,deep_sea,deep_sea,waterside_transshipment,strip,,,,,Seestern,,BGF,BGGFEED
VWWZ6951956,20,dry,empty,light,rail,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
ZWEO6989717,20,dry,full,light,rail,deep_sea,export,stuff,,,,,Seestern,,BGF,BGGFEED
WVTR2541464,20,reefer,full,medium,truck,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
NPKG4643675,20,dry,full,heavy,feeder,deep_sea,waterside_transshipment,washing,,,,,Seestern,,BGF,BGGFEED
YBVX5856646,20,dry,full,medium,truck,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
WSGE7954434,20,dry,empty,medium,rail,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
LTOH2388258,20,tank,full,heavy,rail,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
BVTS6846754,20,dry,full,medium,rail,deep_sea,export,stuff,,,,,Seestern,,BGF,BGGFEED
IOLF8767572,20,dry,full,light,rail,deep_sea,export,seal,,,,,Seestern,,BGF,BGGFEED
YZXA8966238,20,dry,full,heavy,truck,deep_sea,export,seal,,,,,Seestern,,BGF,BGGFEED
OWCP6626435,20,dry,full,heavy,rail,deep_sea,export,stuff,,,,,Seestern,,BGF,BGGFEED
ISJA6693416,20,dry,full,light,rail,deep_sea,export,washing,,,,,Seestern,,BGF,BGGFEED
KPRY9463749,20,dry,empty,medium,deep_sea,deep_sea,waterside_transshipment,,,,,,Seestern,,BGF,BGGFEED
RGZS3191651,20,dry,empty,light,rail,deep_sea,export,customs,,,,,Seestern,,BGF,BGGFEED
SDJG7163311,20,dry,full,medium,rail,deep_sea,export,customs,,,,,Seestern,,BGF,BGGFEED
JWZB4637182,20,dry,full,medium,truck,deep_sea,export,stuff,,,,,Seestern,,BGF,BGGFEED
PJUC7126224,20,dry,empty,heavy,rail,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
QZKD1144862,20,dry,empty,heavy,truck,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
SWII8915699,20,dry,full,light,rail,deep_sea,export,washing,,,,,Seestern,,BGF,BGGFEED
DWOH5191374,20,dry,full,light,rail,deep_sea,export,washing,,,,,Seestern,,BGF,BGGFEED
UBZS5186981,20,dry,full,medium,rail,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
FXVX4361398,20,dry,full,light,rail,deep_sea,export,washing,,,,,Seestern,,BGF,BGGFEED
SOMU8241943,20,dry,full,medium,rail,deep_sea,export,washing,,,,,Seestern,,BGF,BGGFEED
LCIX3246447,20,reefer,full,medium,rail,deep_sea,export,stuff,,,,,Seestern,,BGF,BGGFEED
RZDV8257697,20,dry,full,light,rail,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
ZZTX3817318,20,dry,full,light,feeder,deep_sea,waterside_transshipment,washing,,,,,Seestern,,BGF,BGGFEED
OELK1495347,20,dry,full,light,rail,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
LTDU8674594,20,tank,full,medium,rail,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
MDMO3485633,20,reefer,full,medium,rail,deep_sea,export,customs,,,,,Seestern,,BGF,BGGFEED
MGPT6232413,20,dry,empty,light,truck,deep_sea,export,washing,,,,,Seestern,,BGF,BGGFEED
WSLY2693262,20,dry,empty,light,rail,deep_sea,export,customs,,,,,Seestern,,BGF,BGGFEED
JXPN2771492,20,reefer,full,medium,rail,deep_sea,export,washing,,,,,Seestern,,BGF,BGGFEED
BRAT6713518,20,hazardous,full,light,truck,deep_sea,export,washing,,,,,Seestern,,BGF,BGGFEED
MEOA3875962,20,dry,empty,medium,deep_sea,deep_sea,waterside_transshipment,seal,,,,,Seestern,,BGF,BGGFEED
SXRS4624478,20,reefer,full,light,rail,deep_sea,export,strip,,,,,Seestern,,BGF,BGGFEED
IBIG9331598,20,dry,empty,medium,rail,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
YPKK9964496,20,dry,full,heavy,rail,deep_sea,export,seal,,,,,Seestern,,BGF,BGGFEED
LENE4566682,20,dry,full,heavy,rail,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
NVEE7826222,20,dry,full,medium,deep_sea,deep_sea,waterside_transshipment,stuff,,,,,Seestern,,BGF,BGGFEED
FTIS9964288,20,dry,full,medium,truck,deep_sea,export,seal,,,,,Seestern,,BGF,BGGFEED
WQCD8491374,20,dry,full,light,truck,deep_sea,export,strip,,,,,Seestern,,BGF,BGGFEED
GGMD5914823,20,dry,empty,light,feeder,deep_sea,waterside_transshipment,,,,,,Seestern,,BGF,BGGFEED
QEKX9578352,20,hazardous,full,medium,deep_sea,deep_sea,waterside_transshipment,stuff,,,,,Seestern,,BGF,BGGFEED
RPOS6929382,20,dry,empty,light,truck,deep_sea,export,washing,,,,,Seestern,,BGF,BGGFEED
HUBR9999422,20,reefer,full,medium,feeder,deep_sea,waterside_transshipment,,,,,,Seestern,,BGF,BGGFEED
NEHX6211189,20,dry,empty,heavy,truck,deep_sea,export,seal,,,,,Seestern,,BGF,BGGFEED
QATZ9329736,20,dry,full,medium,rail,deep_sea,export,washing,,,,,Seestern,,BGF,BGGFEED
WUGT7891899,20,dry,empty,light,truck,deep_sea,export,seal,,,,,Seestern,,BGF,BGGFEED
IAFC9515494,20,dry,full,heavy,rail,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
LBMT1593237,20,dry,full,medium,deep_sea,deep_sea,waterside_transshipment,stuff,,,,,Seestern,,BGF,BGGFEED
IKMQ8388998,20,reefer,full,medium,rail,deep_sea,export,customs,,,,,Seestern,,BGF,BGGFEED
RHNY1662868,20,dry,empty,light,rail,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
EDMM9377742,20,hazardous,full,light,rail,deep_sea,export,strip,,,,,Seestern,,BGF,BGGFEED
WGNT2189149,20,reefer,full,medium,truck,deep_sea,export,customs,,,,,Seestern,,BGF,BGGFEED
QOMZ4682776,20,dry,full,medium,rail,deep_sea,export,stuff,,,,,Seestern,,BGF,BGGFEED
HLYU1566898,20,dry,full,medium,deep_sea,deep_sea,waterside_transshipment,stuff,,,,,Seestern,,BGF,BGGFEED
TBUP1244115,20,dry,empty,medium,rail,deep_sea,export,seal,,,,,Seestern,,BGF,BGGFEED
PSJC1317569,20,dry,empty,light,rail,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
RWRX6339747,20,dry,empty,medium,truck,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
PGKY4493324,20,reefer,empty,medium,feeder,deep_sea,waterside_transshipment,washing,,,,,Seestern,,BGF,BGGFEED
ILAR1271267,20,dry,empty,light,deep_sea,deep_sea,waterside_transshipment,,,,,,Seestern,,BGF,BGGFEED
UCGA5836221,20,tank,full,light,rail,deep_sea,export,seal,,,,,Seestern,,BGF,BGGFEED
RXPJ3696597,20,hazardous,full,light,deep_sea,deep_sea,waterside_transshipment,washing,,,,,Seestern,,BGF,BGGFEED
BALC4126298,20,hazardous,full,light,deep_sea,deep_sea,waterside_transshipment,strip,,,,,Seestern,,BGF,BGGFEED
XMKC2797451,20,dry,full,medium,rail,deep_sea,export,strip,,,,,Seestern,,BGF,BGGFEED
EYYJ8419645,20,dry,full,medium,truck,deep_sea,export,seal,,,,,Seestern,,BGF,BGGFEED
OJNJ5867648,20,hazardous,full,medium,rail,deep_sea,export,washing,,,,,Seestern,,BGF,BGGFEED
OSUR7726656,20,dry,full,light,rail,deep_sea,export,seal,,,,,Seestern,,BGF,BGGFEED
QBVN7639971,20,hazardous,full,medium,rail,deep_sea,export,customs,,,,,Seestern,,BGF,BGGFEED
NQXS3983936,20,dry,full,medium,rail,deep_sea,export,strip,,,,,Seestern,,BGF,BGGFEED
YOYE8215471,20,tank,full,heavy,truck,deep_sea,export,stuff,,,,,Seestern,,BGF,BGGFEED
WZFG2663152,20,dry,full,light,deep_sea,deep_sea,waterside_transshipment,,,,,,Seestern,,BGF,BGGFEED
TIQC6352126,20,dry,full,light,rail,deep_sea,export,seal,,,,,Seestern,,BGF,BGGFEED
ORLE5921359,20,dry,full,medium,truck,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
JSLK1927639,20,dry,empty,light,deep_sea,deep_sea,waterside_transshipment,seal,,,,,Seestern,,BGF,BGGFEED
VUAO6621763,20,dry,full,light,feeder,deep_sea,waterside_transshipment,customs,,,,,Seestern,,BGF,BGGFEED
KEUQ2171857,20,reefer,full,medium,rail,deep_sea,export,washing,,,,,Seestern,,BGF,BGGFEED
RMDF9149936,20,dry,empty,medium,rail,deep_sea,export,washing,,,,,Seestern,,BGF,BGGFEED
AZRV3718716,20,dry,empty,medium,truck,deep_sea,export,customs,,,,,Seestern,,BGF,BGGFEED
LZCF1854649,20,dry,full,medium,truck,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
HEOE6917829,20,dry,full,medium,rail,deep_sea,export,seal,,,,,Seestern,,BGF,BGGFEED
QKDX4859328,20,dry,full,medium,rail,deep_sea,export,strip,,,,,Seestern,,BGF,BGGFEED
PNJL4355467,20,dry,full,light,rail,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
DCBY9282291,20,dry,full,medium,rail,deep_sea,export,washing,,,,,Seestern,,BGF,BGGFEED
