id,size,type,status,weight,inbound_mode,outbound_mode,direction,service,input_vessel,output_vessel
EXP-EVER-0,40,dry,full,heavy,truck,deep_sea,export,,,Ever-Given
EXP-EVER-1,40,dry,full,medium,truck,deep_sea,export,,,Ever-Given
EXP-EVER-2,40,dry,full,light,truck,deep_sea,export,,,Ever-Given
EXP-MAER-0,40,dry,full,heavy,truck,deep_sea,export,,,Maersk
EXP-MAER-1,20,dry,full,medium,truck,deep_sea,export,,,Maersk
EXP-MAER-2,20,dry,full,light,truck,deep_sea,export,,,Maersk
IMP-ROAD-0,20,dry,full,medium,deep_sea,truck,import,customs,Ever-Given,
IMP-ROAD-1,20,dry,full,heavy,deep_sea,truck,import,,Ever-Given,
IMP-ROAD-2,40,dry,full,light,deep_sea,truck,import,strip,Ever-Given,
IMP-RAIL-0,20,dry,full,medium,deep_sea,rail,import,,Ever-Given,
IMP-RAIL-1,20,dry,full,heavy,deep_sea,rail,import,,Maersk,
REEF-0,40,reefer,full,medium,deep_sea,rail,import,,Ever-Given,
REEF-1,40,reefer,full,light,deep_sea,rail,import,,Maersk,
HAZ-0,20,hazardous,full,heavy,truck,deep_sea,export,seal,,Maersk
EMPTY-0,20,dry,empty,light,deep_sea,truck,import,washing,Ever-Given,
EMPTY-1,40,dry,empty,light,deep_sea,truck,import,washing,Ever-Given,
TRANS-0,40,dry,full,medium,deep_sea,feeder,waterside_transshipment,,Ever-Given,Feeder-A
TRANS-1,40,dry,full,heavy,deep_sea,feeder,waterside_transshipment,,Ever-Given,Feeder-A
